cla_id,cla_Name,mes_sub_id,mes_sub_name,exam_number,exam_numname,exam_type,exam_sdate,mes_TestID,sum_Student,avg_Score,max_Score,min_Score
901,白-高二(01),1,语文,271,2016学年度第二学期期中考试,2,2017/4/20 0:00,134152,47,77.95744680851064,88.0,66.0
901,白-高二(01),1,语文,279,2016学年度第二学期期末考试,3,2017/6/28 0:00,135935,47,79.02127659574468,91.0,66.0
901,白-高二(01),1,语文,284,2017学年度第一学期期中考试,2,2017/11/15 0:00,137125,45,71.13333333333334,82.0,63.0
901,白-高二(01),1,语文,285,2017学年度第一学期平时成绩1,4,2017/11/23 0:00,138009,45,78.31111111111112,92.0,64.0
901,白-高二(01),1,语文,287,2017学年度第一学期平时成绩2,22,2018/1/21 0:00,139089,45,13.577777777777778,15.0,10.0
901,白-高二(01),1,语文,288,	2017学年度第一学期期末考试,3,2018/1/26 0:00,139653,45,13.022222222222222,15.0,10.0
901,白-高二(01),1,语文,289,2017学年度第一学期期末总评,5,2018/1/23 0:00,140218,45,101.28888888888889,119.0,84.0
901,白-高二(01),1,语文,291,2017学年第二学期高一二平时成绩1,22,2018/4/18 0:00,140766,45,81.4,98.0,69.0
901,白-高二(01),1,语文,292,2017学年度第二学期期中考试,2,2018/4/23 0:00,141254,45,14.71111111111111,15.0,11.0
901,白-高二(01),1,语文,297,2017学年度第二学期平时成绩2,4,2018/6/19 0:00,142769,44,81.3409090909091,95.0,64.0
901,白-高二(01),1,语文,298,2017学年度第二学期期末考试,3,2018/6/24 0:00,143072,45,14.866666666666667,15.0,13.0
901,白-高二(01),1,语文,299,2017学年第二学期期末总评,5,2018/7/1 0:00,143593,44,107.72727272727273,127.0,88.0
901,白-高二(01),1,语文,303,2018学年度第一学期平时成绩1,22,2018/10/23 0:00,145129,45,85.15555555555555,100.0,69.0
901,白-高二(01),1,语文,304,2018-1学期期中考试,2,2018/11/5 0:00,145862,45,14.866666666666667,15.0,10.0
901,白-高二(01),1,语文,305,2018学年度第一学期平时成绩2,4,2018/1/2 0:00,146920,44,72.0909090909091,84.0,57.0
901,白-高二(01),2,数学,267,2016学年度第一学期期末考试,3,2017/1/13 0:00,133684,45,14.911111111111111,15.0,12.0
901,白-高二(01),2,数学,271,2016学年度第二学期期中考试,2,2017/4/20 0:00,134151,47,86.34042553191489,100.0,51.0
901,白-高二(01),2,数学,279,2016学年度第二学期期末考试,3,2017/6/28 0:00,135936,47,73.48936170212765,98.0,51.0
901,白-高二(01),2,数学,280,2016学年度第二学期总评,5,2017/6/28 0:00,135945,45,74.84444444444445,91.0,60.0
