cla_id,cla_Name,mes_sub_id,mes_sub_name,exam_number,exam_numname,exam_type,exam_sdate,mes_TestID,mes_StudentID,mes_Score
917,高三(03),3,英语,000284,2017学年度第一学期期中考试,2,2017/11/15 00:00:00,136935,14295,-2
907,白-高二(07),11,音乐,000277,2016学年度第二学期考查课总评,5,2016/6/20 00:00:00,135095,14037,-2
901,白-高二(01),6,生物,000279,2016学年度第二学期期末考试,3,2017/6/28 00:00:00,135940,14484,-2
901,白-高二(01),6,生物,000279,2016学年度第二学期期末考试,3,2017/6/28 00:00:00,135940,14490,-2
917,高三(03),17,政治,000284,2017学年度第一学期期中考试,2,2017/11/15 00:00:00,136851,14295,-2
923,高三(09),9,体育,000277,2016学年度第二学期考查课总评,5,2016/6/20 00:00:00,135118,14357,-2
917,高三(03),17,政治,000284,2017学年度第一学期期中考试,2,2017/11/15 00:00:00,136852,14246,-2
917,高三(03),17,政治,000284,2017学年度第一学期期中考试,2,2017/11/15 00:00:00,136852,14453,-2
922,高三(05),9,体育,000277,2016学年度第二学期考查课总评,5,2016/6/20 00:00:00,135070,14226,-2
922,高三(05),9,体育,000277,2016学年度第二学期考查课总评,5,2016/6/20 00:00:00,135070,14350,-2
901,白-高二(01),3,英语,000279,2016学年度第二学期期末考试,3,2017/6/28 00:00:00,135937,14484,-2
901,白-高二(01),3,英语,000279,2016学年度第二学期期末考试,3,2017/6/28 00:00:00,135937,14490,-2
924,高三(06),9,体育,000277,2016学年度第二学期考查课总评,5,2016/6/20 00:00:00,135082,14140,-2
924,高三(06),9,体育,000277,2016学年度第二学期考查课总评,5,2016/6/20 00:00:00,135082,14199,-2
917,高三(03),1,语文,000284,2017学年度第一学期期中考试,2,2017/11/15 00:00:00,136960,14453,-2
925,高三(10),11,音乐,000277,2016学年度第二学期考查课总评,5,2016/6/20 00:00:00,135131,14189,-2
904,白-高二(04),8,地理,000284,2017学年度第一学期期中考试,2,2017/11/15 00:00:00,137037,14802,-2
924,高三(06),3,英语,000283,2017年10月高三“五校联考”,6,2017/10/16 00:00:00,136662,13685,-2
924,高三(06),4,物理,000283,2017年10月高三“五校联考”,6,2017/10/16 00:00:00,136649,13685,-2
924,高三(06),5,化学,000283,2017年10月高三“五校联考”,6,2017/10/16 00:00:00,136636,13685,-2
924,高三(06),6,生物,000283,2017年10月高三“五校联考”,6,2017/10/16 00:00:00,136623,13685,-2
924,高三(06),7,历史,000283,2017年10月高三“五校联考”,6,2017/10/16 00:00:00,136610,13685,-2
924,高三(06),8,地理,000283,2017年10月高三“五校联考”,6,2017/10/16 00:00:00,136597,13685,-2
924,高三(06),17,政治,000283,2017年10月高三“五校联考”,6,2017/10/16 00:00:00,136571,13685,-2
924,高三(06),59,技术,000283,2017年10月高三“五校联考”,6,2017/10/16 00:00:00,136558,13685,-2
924,高三(06),3,英语,000282,2017年9月宁波市“十校联考”,7,2017/9/20 00:00:00,136519,13685,-2
924,高三(06),4,物理,000282,2017年9月宁波市“十校联考”,7,2017/9/20 00:00:00,136506,13685,-2
924,高三(06),5,化学,000282,2017年9月宁波市“十校联考”,7,2017/9/20 00:00:00,136493,13685,-2
924,高三(06),6,生物,000282,2017年9月宁波市“十校联考”,7,2017/9/20 00:00:00,136480,13685,-2
924,高三(06),7,历史,000282,2017年9月宁波市“十校联考”,7,2017/9/20 00:00:00,136467,13685,-2
924,高三(06),8,地理,000282,2017年9月宁波市“十校联考”,7,2017/9/20 00:00:00,136454,13685,-2
924,高三(06),17,政治,000282,2017年9月宁波市“十校联考”,7,2017/9/20 00:00:00,136428,13685,-2
904,白-高二(04),5,化学,000284,2017学年度第一学期期中考试,2,2017/11/15 00:00:00,137076,14802,-2
904,白-高二(04),3,英语,000284,2017学年度第一学期期中考试,2,2017/11/15 00:00:00,137102,14802,-2
916,高三(02),17,政治,000284,2017学年度第一学期期中考试,2,2017/11/15 00:00:00,136851,13956,-2
916,高三(02),17,政治,000284,2017学年度第一学期期中考试,2,2017/11/15 00:00:00,136851,14035,-2
917,高三(03),6,生物,000284,2017学年度第一学期期中考试,2,2017/11/15 00:00:00,136900,14246,-2
917,高三(03),6,生物,000284,2017学年度第一学期期中考试,2,2017/11/15 00:00:00,136900,14453,-2
923,高三(09),17,政治,000284,2017学年度第一学期期中考试,2,2017/11/15 00:00:00,136858,13979,-2
905,白-高二(05),1,语文,000284,2017学年度第一学期期中考试,2,2017/11/15 00:00:00,137129,14566,-2
918,高三(04),17,政治,000284,2017学年度第一学期期中考试,2,2017/11/15 00:00:00,136853,13970,-2
918,高三(04),17,政治,000284,2017学年度第一学期期中考试,2,2017/11/15 00:00:00,136853,13993,-2
918,高三(04),17,政治,000284,2017学年度第一学期期中考试,2,2017/11/15 00:00:00,136853,14157,-2
918,高三(04),17,政治,000284,2017学年度第一学期期中考试,2,2017/11/15 00:00:00,136853,14293,-2
918,高三(04),17,政治,000284,2017学年度第一学期期中考试,2,2017/11/15 00:00:00,136853,14296,-2
918,高三(04),17,政治,000284,2017学年度第一学期期中考试,2,2017/11/15 00:00:00,136853,14310,-2
918,高三(04),17,政治,000284,2017学年度第一学期期中考试,2,2017/11/15 00:00:00,136853,14356,-2
