course_id,sub_1,sub_2,sub_3,count
1,地理,,,172
2,政治,,,116
4,技术,,,115
5,物理,,,257
6,化学,,,242
7,生物,,,237
8,历史,,,85
12,地理,政治,,37
14,地理,技术,,42
15,地理,物理,,93
16,地理,化学,,70
17,地理,生物,,69
18,地理,历史,,26
24,政治,技术,,18
25,政治,物理,,36
26,政治,化学,,48
27,政治,生物,,63
28,政治,历史,,28
45,技术,物理,,68
46,技术,化学,,49
47,技术,生物,,40
48,技术,历史,,13
56,物理,化学,,152
57,物理,生物,,129
58,物理,历史,,23
67,化学,生物,,121
68,化学,历史,,36
78,生物,历史,,42
124,地理,政治,技术,6
125,地理,政治,物理,6
126,地理,政治,化学,7
127,地理,政治,生物,11
128,地理,政治,历史,6
145,地理,技术,物理,17
146,地理,技术,化学,7
147,地理,技术,生物,7
148,地理,技术,历史,5
156,地理,物理,化学,36
157,地理,物理,生物,28
158,地理,物理,历史,3
167,地理,化学,生物,14
168,地理,化学,历史,4
178,地理,生物,历史,8
245,政治,技术,物理,4
246,政治,技术,化学,1
247,政治,技术,生物,7
248,政治,技术,历史,0
256,政治,物理,化学,12
257,政治,物理,生物,13
258,政治,物理,历史,1
267,政治,化学,生物,19
268,政治,化学,历史,9
278,政治,生物,历史,12
456,技术,物理,化学,30
457,技术,物理,生物,14
458,技术,物理,历史,3
467,技术,化学,生物,9
468,技术,化学,历史,2
478,技术,生物,历史,3
567,物理,化学,生物,63
568,物理,化学,历史,8
578,物理,生物,历史,6
678,化学,生物,历史,13
