cla_id,cla_Name,exam_number,exam_numname,exam_type,exam_sdate,mes_TestID,mes_StudentID,mes_Total_Score
901,白-高二(01),271,2016学年度第二学期期中考试,2,2017/4/20 0:00,134152,14454,488.0
901,白-高二(01),277,2016学年度第二学期考查课总评,5,2016/6/20 0:00,135011,14454,448.5
901,白-高二(01),279,2016学年度第二学期期末考试,3,2017/6/28 0:00,135935,14454,256.0
901,白-高二(01),280,2016学年度第二学期总评,5,2017/6/28 0:00,135945,14454,454.0
901,白-高二(01),284,2017学年度第一学期期中考试,2,2017/11/15 0:00,137125,14454,149.6
901,白-高二(01),285,2017学年度第一学期平时成绩1,4,2017/11/23 0:00,138009,14454,646.0
901,白-高二(01),286,2017-1学期考察科目总评,5,2018/1/11 0:00,138256,14454,126.0
901,白-高二(01),287,2017学年度第一学期平时成绩2,22,2018/1/21 0:00,139089,14454,174.0
901,白-高二(01),288,	2017学年度第一学期期末考试,3,2018/1/26 0:00,139653,14454,125.0
901,白-高二(01),289,2017学年度第一学期期末总评,5,2018/1/23 0:00,140218,14454,792.5
901,白-高二(01),291,2017学年第二学期高一二平时成绩1,22,2018/4/18 0:00,140766,14454,725.0
901,白-高二(01),292,2017学年度第二学期期中考试,2,2018/4/23 0:00,141254,14454,131.5
901,白-高二(01),297,2017学年度第二学期平时成绩2,4,2018/6/19 0:00,142769,14454,742.0
901,白-高二(01),298,2017学年度第二学期期末考试,3,2018/6/24 0:00,143072,14454,73.0
901,白-高二(01),299,2017学年第二学期期末总评,5,2018/7/1 0:00,143593,14454,560.5
901,白-高二(01),303,2018学年度第一学期平时成绩1,22,2018/10/23 0:00,145129,14454,599.0
901,白-高二(01),304,2018-1学期期中考试,2,2018/11/5 0:00,145862,14454,116.8
901,白-高二(01),305,2018学年度第一学期平时成绩2,4,2018/1/2 0:00,146920,14454,551.5
901,白-高二(01),307,2018-1学期期末考试,3,2019/1/22 0:00,148166,14454,115.3
901,白-高二(01),267,2016学年度第一学期期末考试,3,2017/1/13 0:00,133683,14455,583.5
901,白-高二(01),271,2016学年度第二学期期中考试,2,2017/4/20 0:00,134152,14455,489.0
901,白-高二(01),277,2016学年度第二学期考查课总评,5,2016/6/20 0:00,135011,14455,452.0
901,白-高二(01),279,2016学年度第二学期期末考试,3,2017/6/28 0:00,135935,14455,240.0
901,白-高二(01),280,2016学年度第二学期总评,5,2017/6/28 0:00,135945,14455,436.0
901,白-高二(01),284,2017学年度第一学期期中考试,2,2017/11/15 0:00,137125,14455,144.4
901,白-高二(01),285,2017学年度第一学期平时成绩1,4,2017/11/23 0:00,138009,14455,673.0
901,白-高二(01),286,2017-1学期考察科目总评,5,2018/1/11 0:00,138269,14455,124.5
901,白-高二(01),287,2017学年度第一学期平时成绩2,22,2018/1/21 0:00,139089,14455,260.0
901,白-高二(01),288,	2017学年度第一学期期末考试,3,2018/1/26 0:00,139653,14455,127.5
901,白-高二(01),289,2017学年度第一学期期末总评,5,2018/1/23 0:00,140218,14455,751.5
901,白-高二(01),291,2017学年第二学期高一二平时成绩1,22,2018/4/18 0:00,140766,14455,724.0
901,白-高二(01),292,2017学年度第二学期期中考试,2,2018/4/23 0:00,141254,14455,116.0
901,白-高二(01),297,2017学年度第二学期平时成绩2,4,2018/6/19 0:00,142769,14455,640.0
901,白-高二(01),298,2017学年度第二学期期末考试,3,2018/6/24 0:00,143072,14455,57.0
901,白-高二(01),299,2017学年第二学期期末总评,5,2018/7/1 0:00,143593,14455,548.5
901,白-高二(01),303,2018学年度第一学期平时成绩1,22,2018/10/23 0:00,145129,14455,502.0
901,白-高二(01),304,2018-1学期期中考试,2,2018/11/5 0:00,145862,14455,94.7
901,白-高二(01),305,2018学年度第一学期平时成绩2,4,2018/1/2 0:00,146920,14455,504.0
901,白-高二(01),306,2018-1考查课总评,18,2019/1/3 0:00,147363,14455,115.0
901,白-高二(01),307,2018-1学期期末考试,3,2019/1/22 0:00,148179,14455,86.0
901,白-高二(01),267,2016学年度第一学期期末考试,3,2017/1/13 0:00,133683,14457,625.5
901,白-高二(01),271,2016学年度第二学期期中考试,2,2017/4/20 0:00,134152,14457,496.5
901,白-高二(01),277,2016学年度第二学期考查课总评,5,2016/6/20 0:00,135011,14457,478.5
901,白-高二(01),279,2016学年度第二学期期末考试,3,2017/6/28 0:00,135935,14457,261.0
901,白-高二(01),280,2016学年度第二学期总评,5,2017/6/28 0:00,135945,14457,457.0
901,白-高二(01),284,2017学年度第一学期期中考试,2,2017/11/15 0:00,137125,14457,142.6
901,白-高二(01),285,2017学年度第一学期平时成绩1,4,2017/11/23 0:00,138009,14457,678.0
901,白-高二(01),286,2017-1学期考察科目总评,5,2018/1/11 0:00,138269,14457,125.5
901,白-高二(01),287,2017学年度第一学期平时成绩2,22,2018/1/21 0:00,139089,14457,267.0
901,白-高二(01),288,	2017学年度第一学期期末考试,3,2018/1/26 0:00,139653,14457,129.0
901,白-高二(01),289,2017学年度第一学期期末总评,5,2018/1/23 0:00,140218,14457,799.0
