exam_number,exam_numname,exam_type,mes_sub_id,mes_sub_name,max_score,min_score
250,2015学年第一学期期中考试,2,1,,74,74
253,2015学年第一学期期末考试,3,1,,108,108
254,2015年第一学期期末总评,5,1,,73,73
257,2015学年度第二学期期中考试,2,1,,-2,-2
262,2015学年度第二学期期末考试,3,1,,-2,-2
265,2016学年度第一学期期中考试,2,1,,88,62
267,2016学年度第一学期期末考试,3,1,,118,-2
269,2016学年度第一学期期末总评,5,1,,81,66
271,2016学年度第二学期期中考试,2,1,,89,60
279,2016学年度第二学期期末考试,3,1,,73,0
280,2016学年度第二学期总评,5,1,,78,0
284,2017学年度第一学期期中考试,2,1,,86,56
285,2017学年度第一学期平时成绩1,4,1,,15,15
287,2017学年度第一学期平时成绩2,22,1,,15,5
288,"	2017学年度第一学期期末考试",3,1,,120,84
289,2017学年度第一学期期末总评,5,1,,97,52
291,2017学年第二学期高一二平时成绩1,22,1,,15,11
297,2017学年度第二学期平时成绩2,4,1,,15,0
298,2017学年度第二学期期末考试,3,1,,121,83
299,2017学年第二学期期末总评,5,1,,97,64
303,2018学年度第一学期平时成绩1,22,1,,15,11
304,2018-1学期期中考试,2,1,,116.5,81
305,2018学年度第一学期平时成绩2,4,1,,15,11
